Epoch 178, Loss: -46.65690612792969, Success rate: 0.3125, Mean reward: -0.498283714056015, Std reward: 0.7591270208358765
Epoch 179, Loss: -49.028160095214844, Success rate: 0.265625, Mean reward: -0.5705726742744446, Std reward: 0.7238384485244751
Epoch 180, Loss: -46.070980072021484, Success rate: 0.3125, Mean reward: -0.49131423234939575, Std reward: 0.7644219994544983
Epoch 181, Loss: -53.9321403503418, Success rate: 0.234375, Mean reward: -0.6150546073913574, Std reward: 0.7045994400978088
Epoch 182, Loss: -46.9256591796875, Success rate: 0.296875, Mean reward: -0.5190191268920898, Std reward: 0.7495988607406616
Epoch 183, Loss: -50.52384948730469, Success rate: 0.25, Mean reward: -0.5892509818077087, Std reward: 0.7204526662826538
Epoch 184, Loss: -53.43336868286133, Success rate: 0.234375, Mean reward: -0.6125237941741943, Std reward: 0.7115518450737
Epoch 185, Loss: -38.100868225097656, Success rate: 0.359375, Mean reward: -0.4245069622993469, Std reward: 0.7823887467384338
Epoch 186, Loss: -52.92346954345703, Success rate: 0.234375, Mean reward: -0.6042220592498779, Std reward: 0.7229008674621582
Epoch 187, Loss: -48.15715026855469, Success rate: 0.296875, Mean reward: -0.5139113664627075, Std reward: 0.7594432234764099
Epoch 188, Loss: -40.531028747558594, Success rate: 0.34375, Mean reward: -0.4342871308326721, Std reward: 0.7923011183738708
Epoch 189, Loss: -61.18494415283203, Success rate: 0.171875, Mean reward: -0.7250137329101562, Std reward: 0.6108740568161011
Epoch 190, Loss: -38.636993408203125, Success rate: 0.359375, Mean reward: -0.4307372570037842, Std reward: 0.7733853459358215
Epoch 191, Loss: -54.01292419433594, Success rate: 0.25, Mean reward: -0.5859088897705078, Std reward: 0.7265118956565857
Epoch 192, Loss: -45.77742004394531, Success rate: 0.3125, Mean reward: -0.4854334890842438, Std reward: 0.7745978832244873
Epoch 193, Loss: -49.98460006713867, Success rate: 0.265625, Mean reward: -0.5502886176109314, Std reward: 0.7581523656845093
Epoch 194, Loss: -54.9245719909668, Success rate: 0.234375, Mean reward: -0.5996139049530029, Std reward: 0.735748827457428
Epoch 195, Loss: -52.167091369628906, Success rate: 0.25, Mean reward: -0.6001603007316589, Std reward: 0.7055048942565918
Epoch 196, Loss: -40.90840148925781, Success rate: 0.328125, Mean reward: -0.45269352197647095, Std reward: 0.7944961786270142
Epoch 197, Loss: -47.97460174560547, Success rate: 0.296875, Mean reward: -0.5128931999206543, Std reward: 0.7607492208480835
Epoch 198, Loss: -42.002052307128906, Success rate: 0.359375, Mean reward: -0.43194466829299927, Std reward: 0.7680777907371521
Epoch 199, Loss: -45.49017333984375, Success rate: 0.296875, Mean reward: -0.5189225673675537, Std reward: 0.751663863658905
Epoch 200, Loss: -23.9769287109375, Success rate: 0.46875, Mean reward: -0.24306727945804596, Std reward: 0.8228340148925781
Epoch 201, Loss: -33.020469665527344, Success rate: 0.375, Mean reward: -0.3737454414367676, Std reward: 0.8203087449073792
Epoch 202, Loss: -40.95973205566406, Success rate: 0.375, Mean reward: -0.3960234522819519, Std reward: 0.7941133379936218
Epoch 203, Loss: -50.11745834350586, Success rate: 0.296875, Mean reward: -0.5346230268478394, Std reward: 0.7313410043716431
Epoch 204, Loss: -50.66900634765625, Success rate: 0.25, Mean reward: -0.5863164663314819, Std reward: 0.726065456867218
Epoch 205, Loss: -35.819053649902344, Success rate: 0.375, Mean reward: -0.3746284246444702, Std reward: 0.820277214050293
Epoch 206, Loss: -46.2855224609375, Success rate: 0.3125, Mean reward: -0.4844513535499573, Std reward: 0.774957001209259
exceptions must derive from BaseException
